 ,,DISTRIBUTION OF  GRANTED PATENTS WITH RESPECT TO CITIES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
73,ŞIRNAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
74,BARTIN,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
75,ARDAHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,IĞDIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
77,YALOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,3
78,KARABÜK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
79,KİLİS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,OSMANİYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
81,DÜZCE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,5,1,6
,TOTAL,58,47,7,31,28,23,57,73,92,68,94,122,317,337,456,642,847,1025,1244,1251,1730,1794
* Statistical datas of 2016 have been prepared by the reporting date of 17.01.2017.,,,,,,,,,,,,,,,,,,,,,,,
* Register information of the first applicant have been considered  by the reporting  date of 17.01.2017.,,,,,,,,,,,,,,,,,,,,,,,
* Applications rejected and applications out of transaction have been included in  the application datas in the course of first application.,,,,,,,,,,,,,,,,,,,,,,,
* Registration datas have been prepared in deference to  the registration date.,,,,,,,,,,,,,,,,,,,,,,,
