,,FAYDALI MODEL TESCİLLERİNİN İLLERE GÖRE DAĞILIMI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67,ZONGULDAK,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,0,0,6,0,4,2,2,0,2,0,1,6
68,AKSARAY,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,2,3,1,1,4,7,7,4,1,3,0,1
69,BAYBURT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,KARAMAN,0,0,0,0,1,0,1,0,1,0,3,1,6,3,2,1,2,3,3,4,3,2,2,0,2,1,5
71,KIRIKKALE,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,2,0,5,2,0,1,1,0,0,0
72,BATMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0
73,ŞIRNAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3
74,BARTIN,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,1,0,4,1,0,0,2
75,ARDAHAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
76,IĞDIR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0
77,YALOVA,0,0,0,0,0,1,0,0,1,2,0,0,0,0,4,4,3,5,4,6,2,2,0,0,1,0,1
78,KARABÜK,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2,0,1,1,0,0,0,3
79,KİLİS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
80,OSMANİYE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,3,1,2,2,0,2,0,2
81,DÜZCE,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,2,9,6,6,8,8,7,13,0,0,5,6
,TOPLAM,0,0,113,140,160,145,257,373,704,677,963,1659,2146,1833,2151,2022,1948,2245,1997,2471,2681,2347,2014,307,661,1145,2513
,*2021 yılına ait değerler 18.01.2022 raporlama tarihi itibari ile hazırlanmıştır.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  İlk başvuru sahibinin 18.01.2022 raporlama tarihi itibari ile sicilde bulunan bilgileri gözönününde bulundurulmuştur.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"  İlk başvuru sırasında geri çevrilen, işlemden kaldırılan başvurular, başvuru sayılarına dahil edilmiştir.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"  Tescil sayıları, tescil tarihleri gözönünde bulundurularak hazırlanmıştır.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
